timestamp,open,high,low,close
1767317460000,4349.065,4351.115,4349.065,4349.775
1767317520000,4349.785,4350.095,4348.495,4349.755
1767317580000,4349.755,4350.975,4349.755,4350.615
1767317640000,4350.645,4350.695,4349.125,4349.365
1767317700000,4349.285,4351.295,4349.185,4350.035
1767317760000,4350.025,4350.325,4348.295,4348.565
1767317820000,4348.525,4348.965,4347.795,4348.195
1767317880000,4348.375,4349.245,4348.205,4348.835
1767317940000,4348.815,4349.335,4348.398,4348.505
1767318000000,4348.498,4349.455,4347.705,4347.765
1767318060000,4347.815,4348.805,4345.605,4346.035
1767318120000,4346.015,4346.945,4345.745,4346.555
1767318180000,4346.615,4346.975,4345.575,4345.955
1767318240000,4345.975,4346.845,4345.325,4346.215
1767318300000,4346.475,4347.765,4345.815,4347.725
1767318360000,4347.685,4347.685,4346.265,4346.735
1767318420000,4346.735,4349.805,4346.325,4349.715
1767318480000,4349.725,4350.285,4349.265,4350.065
1767318540000,4350.095,4352.005,4349.965,4351.945
1767318600000,4351.975,4353.335,4351.565,4353.045
1767318660000,4352.995,4354.295,4351.705,4351.785
1767318720000,4351.785,4352.868,4351.665,4352.715
1767318780000,4352.635,4352.685,4350.495,4351.435
1767318840000,4350.975,4352.605,4350.005,4350.005
1767318900000,4349.975,4350.135,4348.935,4348.985
1767318960000,4349.015,4349.855,4348.585,4349.515
1767319020000,4349.495,4350.565,4348.955,4348.995
1767319080000,4349.085,4349.565,4348.148,4348.205
1767319140000,4348.245,4348.675,4347.295,4347.685
1767319200000,4347.635,4348.385,4347.348,4348.155
1767319260000,4348.225,4349.525,4348.225,4349.075
1767319320000,4349.148,4350.548,4348.215,4350.195
1767319380000,4350.248,4351.825,4349.895,4351.295
1767319440000,4351.265,4351.295,4349.795,4349.975
1767319500000,4349.865,4349.905,4347.895,4348.805
1767319560000,4348.765,4349.285,4347.795,4348.625
1767319620000,4348.605,4349.185,4347.845,4348.155
1767319680000,4348.185,4348.205,4346.625,4346.995
1767319740000,4347.085,4347.585,4346.635,4347.585
1767319800000,4347.445,4347.565,4346.615,4346.705
1767319860000,4346.775,4347.265,4346.375,4347.055
1767319920000,4347.045,4347.045,4346.345,4346.735
1767319980000,4346.755,4346.765,4345.475,4346.105
1767320040000,4346.145,4346.805,4345.578,4346.675
1767320100000,4346.695,4347.255,4346.178,4346.188
1767320160000,4346.198,4346.435,4345.458,4345.695
1767320220000,4345.718,4345.745,4345.038,4345.475
1767320280000,4345.475,4347.785,4345.475,4347.428
1767320340000,4347.428,4347.748,4346.468,4347.458
1767320400000,4347.505,4347.545,4345.368,4345.845
1767320460000,4345.875,4346.215,4344.838,4344.938
1767320520000,4344.945,4346.255,4344.945,4346.045
1767320580000,4346.025,4346.655,4345.025,4346.035
1767320640000,4346.035,4347.175,4346.035,4346.385
1767320700000,4346.355,4346.705,4344.735,4346.705
1767320760000,4346.755,4348.165,4345.875,4347.905
1767320820000,4347.905,4348.215,4345.305,4345.395
1767320880000,4345.328,4347.295,4344.865,4346.695
1767320940000,4346.705,4348.035,4346.115,4347.645
1767321000000,4347.675,4350.255,4346.918,4346.918
1767321060000,4347.355,4348.245,4345.475,4345.725
1767321120000,4345.795,4348.025,4345.645,4347.135
1767321180000,4347.215,4348.445,4346.545,4347.025
1767321240000,4347.095,4347.225,4345.645,4346.645
1767321300000,4346.775,4351.385,4346.725,4351.375
1767321360000,4351.405,4352.595,4351.365,4351.545
1767321420000,4351.545,4351.885,4350.715,4351.525
1767321480000,4351.525,4353.095,4350.745,4352.815
1767321540000,4352.855,4352.965,4351.685,4351.815
1767321600000,4351.785,4351.975,4351.005,4351.135
1767321660000,4351.065,4352.175,4350.805,4351.805
