time,open,high,low,close,tick_volume
2026-08-14 21:51:00,4373.92,4374.28,4373.38,4374.21,130
2026-08-14 21:52:00,4374.23,4375.08,4373.93,4374.95,99
2026-08-14 21:53:00,4374.7,4375.71,4374.13,4374.14,136
2026-08-14 21:54:00,4374.09,4374.19,4372.9,4373.4,124
2026-08-14 21:55:00,4373.27,4374.04,4373.01,4373.58,129
2026-08-14 21:56:00,4373.59,4374.02,4373.34,4373.68,102
2026-08-14 21:57:00,4373.61,4374.35,4372.73,4373.53,105
2026-08-14 21:58:00,4373.64,4373.64,4372.95,4373.16,73
2026-08-14 21:59:00,4373.17,4373.78,4373.0,4373.42,83
2026-08-14 22:00:00,4373.42,4373.62,4372.52,4372.8,139
2026-08-14 22:01:00,4372.79,4373.68,4372.65,4373.28,124
2026-08-14 22:02:00,4373.17,4373.88,4372.92,4373.25,107
2026-08-14 22:03:00,4373.32,4373.62,4372.92,4373.19,103
2026-08-14 22:04:00,4373.19,4373.31,4372.5,4372.78,128
2026-08-14 22:05:00,4372.76,4373.08,4372.09,4373.08,95
2026-08-14 22:06:00,4372.93,4374.43,4372.44,4374.42,112
2026-08-14 22:07:00,4374.46,4374.69,4373.61,4373.61,114
2026-08-14 22:08:00,4373.57,4375.07,4373.37,4374.9,97
2026-08-14 22:09:00,4374.92,4376.76,4374.92,4376.28,138
2026-08-14 22:10:00,4376.28,4376.46,4375.72,4375.92,123
2026-08-14 22:11:00,4376.02,4377.19,4375.9,4376.76,118
2026-08-14 22:12:00,4376.8,4377.24,4376.59,4377.08,107
2026-08-14 22:13:00,4377.07,4377.17,4376.4,4376.6,91
2026-08-14 22:14:00,4376.55,4376.78,4375.84,4375.93,127
2026-08-14 22:15:00,4376.0,4376.59,4375.51,4376.1,116
2026-08-14 22:16:00,4376.2,4376.21,4374.58,4375.59,117
2026-08-14 22:17:00,4375.6,4375.7,4374.88,4375.59,110
2026-08-14 22:18:00,4375.45,4375.83,4374.51,4375.56,111
2026-08-14 22:19:00,4375.53,4375.91,4375.03,4375.07,110
2026-08-14 22:20:00,4375.09,4375.85,4375.09,4375.77,91
2026-08-14 22:21:00,4375.79,4376.97,4375.65,4376.38,106
2026-08-14 22:22:00,4376.37,4376.94,4376.07,4376.54,112
2026-08-14 22:23:00,4376.53,4376.9,4376.1,4376.6,117
2026-08-14 22:24:00,4376.74,4376.74,4375.68,4376.26,112
2026-08-14 22:25:00,4376.36,4377.02,4376.23,4376.67,109
2026-08-14 22:26:00,4376.65,4377.88,4376.6,4377.48,124
2026-08-14 22:27:00,4377.49,4377.67,4376.46,4376.46,102
2026-08-14 22:28:00,4376.49,4377.68,4376.44,4377.65,85
2026-08-14 22:29:00,4377.66,4377.94,4376.8,4377.36,126
2026-08-14 22:30:00,4377.38,4377.85,4376.99,4377.3,149
2026-08-14 22:31:00,4377.22,4377.54,4376.95,4377.45,117
2026-08-14 22:32:00,4377.47,4378.02,4377.04,4377.37,105
2026-08-14 22:33:00,4377.22,4377.47,4376.79,4376.97,101
2026-08-14 22:34:00,4377.0,4377.51,4376.6,4377.19,126
2026-08-14 22:35:00,4377.19,4377.79,4377.06,4377.41,129
2026-08-14 22:36:00,4377.62,4378.23,4376.77,4377.23,128
2026-08-14 22:37:00,4377.27,4377.34,4376.01,4376.29,116
2026-08-14 22:38:00,4376.27,4376.94,4376.21,4376.94,87
2026-08-14 22:39:00,4376.96,4376.97,4376.0,4376.61,100
2026-08-14 22:40:00,4376.6,4377.49,4376.04,4377.16,115
2026-08-14 22:41:00,4377.09,4377.41,4376.64,4377.01,114
2026-08-14 22:42:00,4377.03,4377.16,4376.26,4376.86,89
2026-08-14 22:43:00,4376.82,4376.86,4376.33,4376.86,108
2026-08-14 22:44:00,4376.91,4377.2,4375.43,4375.51,125
2026-08-14 22:45:00,4375.5,4376.07,4375.5,4375.86,130
2026-08-14 22:46:00,4375.71,4375.96,4375.27,4375.29,95
2026-08-14 22:47:00,4375.26,4375.84,4375.18,4375.41,111
2026-08-14 22:48:00,4375.28,4375.88,4375.14,4375.62,118
2026-08-14 22:49:00,4375.6,4375.9,4375.2,4375.69,133
2026-08-14 22:50:00,4375.77,4376.72,4375.77,4376.24,145
2026-08-14 22:51:00,4376.28,4377.08,4375.99,4376.91,141
2026-08-14 22:52:00,4376.87,4378.76,4376.69,4378.44,162
2026-08-14 22:53:00,4378.42,4379.93,4378.31,4379.24,167
2026-08-14 22:54:00,4379.09,4379.39,4377.98,4378.14,120
2026-08-14 22:55:00,4378.29,4378.29,4373.4,4374.69,186
2026-08-14 22:56:00,4375.48,4376.54,4375.48,4375.59,169
2026-08-14 22:57:00,4375.64,4376.09,4374.9,4375.18,159
2026-08-14 22:58:00,4375.2,4375.59,4374.75,4375.59,181
2026-08-14 22:59:00,4375.67,4376.31,4375.15,4376.19,199
2026-08-14 23:00:00,4375.91,4375.91,4373.76,4374.45,141
2026-08-14 23:01:00,4374.22,4375.34,4374.04,4375.24,95
2026-08-14 23:02:00,4375.07,4375.29,4374.44,4374.59,89
2026-08-14 23:03:00,4374.58,4374.96,4373.5,4373.62,90
2026-08-14 23:04:00,4373.66,4374.37,4373.65,4374.03,66
2026-08-14 23:05:00,4373.97,4374.5,4372.71,4372.77,114
2026-08-14 23:06:00,4372.68,4373.34,4372.21,4373.29,109
2026-08-14 23:07:00,4373.37,4373.74,4373.0,4373.09,99
2026-08-14 23:08:00,4373.05,4373.78,4373.05,4373.78,64
2026-08-14 23:09:00,4373.8,4373.99,4371.85,4372.16,121
2026-08-14 23:10:00,4372.19,4372.36,4371.4,4371.45,117
2026-08-14 23:11:00,4371.44,4372.17,4371.43,4372.06,75
2026-08-14 23:12:00,4371.82,4372.32,4371.54,4371.54,58
2026-08-14 23:13:00,4371.54,4372.46,4371.39,4372.16,72
2026-08-14 23:14:00,4372.4,4372.97,4372.1,4372.8,64
2026-08-14 23:15:00,4372.8,4373.86,4372.72,4373.36,67
2026-08-14 23:16:00,4373.27,4373.82,4373.19,4373.71,61
2026-08-14 23:17:00,4373.67,4373.75,4373.29,4373.49,63
2026-08-14 23:18:00,4373.73,4373.77,4373.24,4373.77,49
2026-08-14 23:19:00,4373.77,4373.77,4373.09,4373.09,53
2026-08-14 23:20:00,4373.1,4373.62,4373.06,4373.15,60
2026-08-14 23:21:00,4373.15,4374.03,4373.04,4373.75,60
2026-08-14 23:22:00,4373.71,4373.99,4373.33,4373.54,49
2026-08-14 23:23:00,4373.53,4373.83,4372.37,4372.99,67
2026-08-14 23:24:00,4373.0,4374.17,4372.57,4374.07,82
2026-08-14 23:25:00,4373.6,4374.09,4373.44,4373.85,55
2026-08-14 23:26:00,4374.07,4374.93,4374.07,4374.74,68
2026-08-14 23:27:00,4374.77,4374.77,4374.19,4374.27,62
2026-08-14 23:28:00,4374.25,4374.57,4373.74,4373.75,51
2026-08-14 23:29:00,4373.98,4374.78,4373.95,4374.76,79
2026-08-14 23:30:00,4374.71,4374.8,4373.89,4374.26,80
2026-08-14 23:31:00,4374.25,4374.75,4374.22,4374.4,56
2026-08-14 23:32:00,4374.28,4374.35,4373.75,4374.28,57
2026-08-14 23:33:00,4374.26,4374.37,4373.93,4374.04,43
2026-08-14 23:34:00,4374.33,4374.42,4373.57,4373.99,73
2026-08-14 23:35:00,4374.02,4374.84,4373.49,4374.81,88
2026-08-14 23:36:00,4375.03,4375.04,4373.86,4374.59,99
2026-08-14 23:37:00,4374.57,4376.39,4374.09,4375.81,87
2026-08-14 23:38:00,4375.81,4376.05,4375.27,4375.33,94
2026-08-14 23:39:00,4375.31,4376.05,4375.31,4375.5,60
2026-08-14 23:40:00,4375.71,4376.92,4375.71,4376.16,98
2026-08-14 23:41:00,4376.23,4376.35,4375.72,4376.16,88
2026-08-14 23:42:00,4376.15,4376.27,4375.27,4375.58,49
2026-08-14 23:43:00,4375.53,4375.58,4374.56,4374.93,83
2026-08-14 23:44:00,4374.93,4375.94,4374.93,4375.59,83
2026-08-14 23:45:00,4375.6,4376.02,4375.17,4375.51,101
